code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
animal_model,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,Animal model,Animal model,ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
cell_line,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,Cell Line,Cell Line,ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
group,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,A group of individuals or entities.,A group of individuals or entities.,ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
non_participant,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,"An individual associated with a study who was not explictly consented, eg, the subject | of a reported family history.","An individual associated with a study who was not explictly consented, eg, the subject | of a reported family history.",ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
other,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,A different entity type- ideally this will be resolved!,A different entity type- ideally this will be resolved!,ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
participant,https://anvilproject.github.io/acr-harmonized-data-model/EnumSubjectType,"Study participant with consent, assent, or waiver of consent.","Study participant with consent, assent, or waiver of consent.",ftd-acr-EnumSubjectType,,acr-EnumSubjectType,Terminology
