code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
KIN_022,http://purl.org/ga4gh/kin.owl,isAdoptiveParentOf,"A legal relation between a person and a child that is adopted by that person. The adopted child is given the rights, privileges, and duties of a biological child by the adoptive person.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_023,http://purl.org/ga4gh/kin.owl,isStepParentOf,"A relation between a person and a child, where the person is married to the father or mother of a child but who is not that child's own father or mother.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_024,http://purl.org/ga4gh/kin.owl,isSiblingFigureOf,A relation between two people that has all or some of the characteristics of a sibling relationship.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_025,http://purl.org/ga4gh/kin.owl,isStepSiblingOf,"A relation between children born of two different families who have been joined by marriage, defacto or otherwise, of at least one of their respective parents.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_026,http://purl.org/ga4gh/kin.owl,isPartnerOf,A socio-legal relationship between two people who live together and share a common domestic life.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_027,http://purl.org/ga4gh/kin.owl,isBiologicalMotherOf,A relation that indicates that a person is the biological mother of another person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_028,http://purl.org/ga4gh/kin.owl,isBiologicalFatherOf,A relation that indicates that a person is the biological father of another person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_029,http://purl.org/ga4gh/kin.owl,isMitochondrialDonorOf,"A relation between a woman that has donated mitochondria and a child. Mitochondrial donation involves removing the nuclear DNA from a woman’s ovum containing faulty mitochondria and inserting it into a healthy donor ovum, which has had its nuclear DNA removed.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_030,http://purl.org/ga4gh/kin.owl,isConsanguineousPartnerOf,"A socio-legal relationship between two people who live together, share a common domestic life and are closely related biologically (second cousins or closer).",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_031,http://purl.org/ga4gh/kin.owl,hasSex,A relation used to indicate the sex of a person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_032,http://purl.org/ga4gh/kin.owl,isBiologicalChildOf,A relation that indicates that a person is the biological child of another person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_036,http://purl.org/ga4gh/kin.owl,isGrandchildOf,A relation between a person and a parent of that person's parent.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_038,http://purl.org/ga4gh/kin.owl,isOvumDonorOf,A relation between a fertile woman who donated an egg to another woman to help her conceive and the child.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_039,http://purl.org/ga4gh/kin.owl,hasGestationalCarrier,A relation between the child and a woman who carried a fertilised egg in her womb and gave birth to a child on behalf of the mother.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_046,http://purl.org/ga4gh/kin.owl,hasParentalSibling,"A relation that indicates that a person has a parental sibling relationship with another person, i.e., the other person is the sibling of a parent.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_047,http://purl.org/ga4gh/kin.owl,isGreatGrandchildOf,A relation between a person and a parent of that person's grandparent.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_050,http://purl.org/ga4gh/kin.owl,isSeparatedPartnerOf,"A socio-legal relationship between two people who used to live together and share a common domestic life, but have now separated.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_051,http://purl.org/ga4gh/kin.owl,isSeparatedConsanguineousPartnerOf,"A socio-legal relationship between two people who used to live together, share a common domestic life and are closely related biologically (second cousins or closer), and have now separated.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
